subsystem,Blood,TumorCore,TumorEdge
Histidine metabolism,0.0,0.0,0.0
Inositol phosphate metabolism,0.0,0.0,8.343012143411075e-05
Insect hormone biosynthesis,0.0,0.0,0.0
Isolated,6.329113924050633e-06,6.329113924050633e-06,0.0008593618608617171
Keratan sulfate biosynthesis,0.0,0.0,0.0
Keratan sulfate degradation,0.0,0.0,0.0
Leukotriene metabolism,0.0002917366933560224,2.3529411764705904e-05,9.266039566583407e-23
Linoleate metabolism,0.00024480663775784434,0.0,6.454658653697724e-23
Lipoic acid metabolism,0.0,0.0,0.0
Lysine metabolism,0.006382122251287193,4.761904761904762e-05,0.0004761904761904715
Metabolism of other amino acids,0.0,0.0,0.0
Miscellaneous,0.08010793447174949,0.09740653170590127,0.21721117942959856
N-glycan metabolism,9.709155228273912e-21,0.0,0.0
Nicotinate and nicotinamide metabolism,0.0007084810718859582,0.00019299067489656388,0.00018278478255227777
Nucleotide metabolism,0.07162245010842758,0.05162714751465267,0.23127190943366854
O-glycan metabolism,0.0,0.0,0.0
Omega-3 fatty acid metabolism,0.0001724734901882125,0.00022118039490528783,2.9343536649204767e-05
Omega-6 fatty acid metabolism,0.0008479497752186679,0.0008791634153038086,8.573540243950895e-05
Oxidative phosphorylation,0.5751981439494711,1.191109452770902,1.656145745614816
Pantothenate and CoA metabolism,0.0,0.0,0.0
Pentose Phosphate Pathway,0.0,0.0,0.0
Pentose and glucuronate interconversions,0.0003538592421526,0.0,6.02973238116375e-05
Pentose phosphate pathway,1.209404030953394,1.0062641843078273,0.45444495157931636
Peptide metabolism,0.03433412605980545,0.14420949357483895,0.035107224363718034
Phenylalanine metabolism,0.0,0.0,1.0519991289297608
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.011810721443188999,3.898234924159358e-06,0.037750324612928286
Phosphatidylinositol phosphate metabolism,0.0,0.0,0.0
Pool reactions,0.004555129807385558,0.09078370827532316,0.012087531378513663
Porphyrin metabolism,6.127772501135888e-06,0.01597723100626884,6.543999363768958e-06
Propanoate metabolism,0.0418135081407642,0.0,0.000228990753682764
Prostaglandin biosynthesis,0.12985819549250538,0.17283904944926132,0.08979080765952782
Protein assembly,0.011085380606419249,0.0,0.0
Protein degradation,0.0,0.0,0.0
Protein modification,0.0,0.0,0.0
Purine metabolism,0.1258328806265108,0.15405380111611813,0.15692929714517304
Pyrimidine metabolism,0.3015793992664582,0.3729120521935329,0.5935040050148972
Pyruvate metabolism,0.15942606608740711,0.03134782149503883,0.0796188442680093
ROS detoxification,0.4147851402549052,0.796385963698719,0.44291125126065517
Retinol metabolism,2.0338093959838757e-05,1.4819706091274467e-05,3.2817102967553654e-05
Riboflavin metabolism,1.2255545002271781e-05,0.0,0.0
Serotonin and melatonin biosynthesis,0.0,0.0,0.0
Sphingolipid metabolism,0.04277144231805119,0.03682523519225802,0.011009142306074747
Starch and sucrose metabolism,0.06224194344258621,0.12974470829164023,0.0
Steroid metabolism,7.74548760496587e-05,2.5790169700124785e-07,2.4823488449835626e-07
Sulfur metabolism,0.0,0.0,0.0
Terpenoid backbone biosynthesis,0.0,0.0021148193973009,4.819369978195199e-20
Thiamine metabolism,6.1277725011358904e-06,6.798837095365122e-06,0.27211908721801326
Toluene degradation,0.0,0.0,0.0
Transport reactions,0.06697783040589565,0.09387302443902457,0.08140378061383836
Triacylglycerol synthesis,0.0,0.0,0.0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.3613173764971374,0.6391788396233314,0.2410441600349722
Tryptophan metabolism,0.0,0.0022392205383186003,5.102862329853739e-20
