,ids,growth,status
0,{'b4301'},0.8739215069684279,optimal
1,{'b0733'},0.8739215069684305,optimal
2,{'b2097'},0.8739215069684305,optimal
3,{'b2296'},0.8739215069684279,optimal
4,{'b1676'},0.8739215069684305,optimal
5,{'b3386'},0.8739215069684305,optimal
6,{'b0809'},0.8739215069684279,optimal
7,{'b2463'},0.8739215069684305,optimal
8,{'b0811'},0.8739215069684305,optimal
9,{'b0723'},0.8142975075325307,optimal
10,{'b3739'},0.8739215069684294,optimal
11,{'b0008'},0.8739215069684305,optimal
12,{'b4014'},0.8739215069684279,optimal
13,{'b1136'},-3.743396437539173e-15,optimal
14,{'b2282'},0.21166294973531075,optimal
15,{'b2925'},0.8739215069684279,optimal
16,{'b2779'},1.5208622319983277e-15,optimal
17,{'b1603'},0.8739215069684287,optimal
18,{'b1621'},0.8739215069684305,optimal
19,{'b0875'},0.8739215069684305,optimal
20,{'b3956'},0.8707448062160257,optimal
21,{'b1478'},0.8739215069684279,optimal
22,{'b2417'},0.8739215069684305,optimal
23,{'b0767'},0.863813309504001,optimal
24,{'b0729'},0.8583074080226897,optimal
25,{'b2029'},0.8638133095040006,optimal
26,{'b2465'},0.8739215069684311,optimal
27,{'b1524'},0.8739215069684279,optimal
28,{'b3737'},0.3742298749331099,optimal
29,{'b4025'},0.8631595522084187,optimal
30,{'b3731'},0.3742298749331101,optimal
31,{'b4090'},0.8739215069684306,optimal
32,{'b3236'},0.8258192905969891,optimal
33,{'b2277'},0.21166294973531125,optimal
34,{'b1479'},0.8739215069684313,optimal
35,{'b1276'},0.8739215069684305,optimal
36,{'b3738'},0.37422987493311033,optimal
37,{'b3735'},0.37422987493310994,optimal
38,{'b3212'},0.873921506968431,optimal
39,{'b0118'},0.8739215069684279,optimal
40,{'b0721'},0.8142975075325314,optimal
41,{'b2281'},0.2116629497353102,optimal
42,{'b3115'},0.8739215069684307,optimal
43,{'b0485'},0.8739215069684307,optimal
44,{'b0115'},0.7966959254309568,optimal
45,{'b0726'},0.8583074080226893,optimal
46,{'b2286'},0.21166294973531058,optimal
47,{'b3962'},0.8739215069684307,optimal
48,{'b0451'},0.8739215069684279,optimal
49,{'b2935'},0.8739215069684305,optimal
50,{'b2976'},0.8739215069684305,optimal
51,{'b2284'},0.21166294973531022,optimal
52,{'b0728'},0.858307408022689,optimal
53,{'b3870'},0.8739215069684305,optimal
54,{'b2492'},0.8739215069684279,optimal
55,{'b4077'},0.8739215069684305,optimal
56,{'b3612'},0.8739215069684305,optimal
57,{'b1723'},0.8739215069684305,optimal
58,{'b0474'},0.8739215069684305,optimal
59,{'b1849'},0.8739215069684305,optimal
60,{'b0904'},0.8739215069684305,optimal
61,{'b3528'},0.8739215069684305,optimal
62,{'b2276'},0.21166294973531022,optimal
63,{'b2287'},0.21166294973531125,optimal
64,{'b1241'},0.8739215069684313,optimal
65,{'b1611'},0.8739215069684305,optimal
66,{'b3493'},0.8739215069684279,optimal
67,{'b0979'},0.8739215069684305,optimal
68,{'b2579'},0.8739215069684305,optimal
69,{'b0903'},0.8739215069684311,optimal
70,{'b2285'},0.21166294973531022,optimal
71,{'b4015'},0.873921506968431,optimal
72,{'b2926'},0.0,optimal
73,{'b1852'},0.8638133095040014,optimal
74,{'b3403'},0.8739215069684311,optimal
75,{'b0734'},0.8739215069684305,optimal
76,{'b2587'},0.8739215069684305,optimal
77,{'b1612'},0.8739215069684305,optimal
78,{'b0727'},0.8583074080226893,optimal
79,{'b0720'},0.0,optimal
80,{'b4153'},0.8739215069684311,optimal
81,{'b4154'},0.8739215069684279,optimal
82,{'b2280'},0.21166294973531022,optimal
83,{'b0902'},0.873921506968431,optimal
84,{'b4395'},0.8739215069684279,optimal
85,{'b1779'},4.960407792924738e-16,optimal
86,{'b3925'},0.8739215069684303,optimal
87,{'b3952'},0.8739215069684279,optimal
88,{'b1854'},0.8739215069684305,optimal
89,{'b0755'},0.8739215069684305,optimal
90,{'b1602'},0.8739215069684279,optimal
91,{'b2283'},0.21166294973531022,optimal
92,{'b1773'},0.873921506968431,optimal
93,{'b2987'},0.8739215069684279,optimal
94,{'b1380'},0.8739215069684305,optimal
95,{'b3734'},0.3742298749331099,optimal
96,{'b2133'},0.8739215069684279,optimal
97,{'b1812'},0.8739215069684305,optimal
98,{'b0724'},0.8142975075325314,optimal
99,{'b1761'},0.8513885233462078,optimal
100,{'b2297'},0.8739215069684306,optimal
101,{'b3213'},0.8739215069684305,optimal
102,{'b4152'},0.8739215069684279,optimal
103,{'b2975'},0.8739215069684305,optimal
104,{'b1817'},0.8739215069684305,optimal
105,{'b3733'},0.3742298749331101,optimal
106,{'b3603'},0.8739215069684306,optimal
107,{'b0351'},0.8739215069684305,optimal
108,{'b3114'},0.8739215069684279,optimal
109,{'b2288'},0.21166294973531022,optimal
110,{'b2914'},0.873921506968431,optimal
111,{'b1101'},0.8739215069684279,optimal
112,{'b4122'},0.8739215069684305,optimal
113,{'b2458'},0.8739215069684305,optimal
114,{'b3919'},0.7040369478590252,optimal
115,{'b0810'},0.8739215069684305,optimal
116,{'b2278'},0.2116629497353101,optimal
117,{'b1818'},0.8739215069684279,optimal
118,{'b3736'},0.3742298749331099,optimal
119,{'b0722'},0.8142975075325303,optimal
120,{'b0114'},0.7966959254309525,optimal
121,{'b1819'},0.8739215069684306,optimal
122,{'b3951'},0.8739215069684305,optimal
123,{'b1702'},0.8739215069684279,optimal
124,{'s0001'},0.21114065257211634,optimal
125,{'b4232'},0.8739215069684305,optimal
126,{'b0116'},0.7823510529477347,optimal
127,{'b3732'},0.37422987493310994,optimal
128,{'b1297'},0.8739215069684279,optimal
129,{'b2279'},0.21166294973531022,optimal
130,{'b2464'},0.873921506968431,optimal
131,{'b4151'},0.8739215069684306,optimal
132,{'b0978'},0.8739215069684305,optimal
133,{'b2415'},,infeasible
134,{'b0356'},0.8739215069684279,optimal
135,{'b2416'},,infeasible
136,{'b3916'},0.8739215069684306,optimal
