,ids,growth,status,growth_ratio
0,{'AKGt2r'},0.8739215069684305,optimal,1.000000000000003
1,{'EX_gln__L_e'},0.8739215069684305,optimal,1.000000000000003
2,{'CO2t'},0.4616696141601349,optimal,0.5282735468562094
3,{'CS'},1.990730298768902e-16,optimal,2.2779280323179193e-16
4,{'RPI'},-5.058643834512395e-16,optimal,-5.78844186139837e-16
5,{'PGI'},0.8631595522084159,optimal,0.9876854446604199
6,{'EX_akg_e'},0.8739215069684305,optimal,1.000000000000003
7,{'D_LACt2'},0.8739215069684305,optimal,1.000000000000003
8,{'PPC'},0.8707448062160257,optimal,0.9963650044917398
9,{'EX_pi_e'},-1.3095033844733582e-14,optimal,-1.498422196995624e-14
10,{'ME1'},0.8739215069684305,optimal,1.000000000000003
11,{'TALA'},0.8647591548314774,optimal,0.9895158179952178
12,{'GLUDy'},0.851388523346209,optimal,0.9742162385951751
13,{'ME2'},0.8739215069684306,optimal,1.000000000000003
14,{'RPE'},0.8657155608953035,optimal,0.9906102023949609
15,{'SUCCt2_2'},0.8739215069684305,optimal,1.000000000000003
16,{'ETOHt2r'},0.8739215069684302,optimal,1.0000000000000027
17,{'FBA'},0.7040369478590248,optimal,0.8056066159777661
18,{'PIt2r'},-3.102634885167602e-15,optimal,-3.550244341657667e-15
19,{'ACALD'},0.8739215069684313,optimal,1.000000000000004
20,{'TKT2'},0.8666740848328234,optimal,0.991707010208794
21,{'PGK'},1.3743361003100254e-16,optimal,1.572608168298204e-16
22,{'LDH_D'},0.8739215069684305,optimal,1.000000000000003
23,{'TKT1'},0.8647591548314774,optimal,0.9895158179952178
24,{'ATPM'},0.9166474637510491,optimal,1.048889924829559
25,{'ACONTb'},-5.684845073661212e-16,optimal,-6.504983603597924e-16
26,{'EX_nh4_e'},6.744858446016528e-17,optimal,7.717922481864494e-17
27,{'SUCDi'},0.8142975075325385,optimal,0.9317741937228198
28,{'CYTBD'},0.21166294973531008,optimal,0.24219903967068387
29,{'SUCOAS'},0.8583074080226889,optimal,0.9821332936410924
30,{'PGL'},0.863813309504001,optimal,0.9884335179031222
31,{'EX_succ_e'},0.8739215069684311,optimal,1.0000000000000038
32,{'PFL'},0.8739215069684307,optimal,1.0000000000000033
33,{'EX_lac__D_e'},0.8739215069684305,optimal,1.000000000000003
34,{'PYK'},0.8649260179498692,optimal,0.9897067540427477
35,{'SUCCt3'},0.873921506968431,optimal,1.0000000000000036
36,{'EX_for_e'},0.8739215069684305,optimal,1.000000000000003
37,{'GLUN'},0.8739215069684305,optimal,1.000000000000003
38,{'MDH'},0.8258192905969891,optimal,0.9449581959158987
39,{'ICL'},0.8739215069684306,optimal,1.000000000000003
40,{'FORti'},0.8739215069684305,optimal,1.000000000000003
41,{'PTAr'},0.8739215069684305,optimal,1.000000000000003
42,{'GLNS'},-6.744858446016528e-17,optimal,-7.717922481864494e-17
43,{'FUMt2_2'},0.8739215069684306,optimal,1.000000000000003
44,{'ICDHyr'},-3.743396437539173e-15,optimal,-4.283446977434794e-15
45,{'PYRt2'},0.8739215069684306,optimal,1.000000000000003
46,{'PDH'},0.7966959254309569,optimal,0.9116332749317945
47,{'EX_mal__L_e'},0.8739215069684306,optimal,1.000000000000003
48,{'FRUpts2'},0.8739215069684305,optimal,1.000000000000003
49,{'FUM'},0.8142975075325306,optimal,0.9317741937228108
50,{'ACONTa'},-5.567065524108516e-15,optimal,-6.370212289911796e-15
51,{'H2Ot'},0.3835154492967731,optimal,0.43884427404374243
52,{'FRD7'},0.8739215069684305,optimal,1.000000000000003
53,{'GLUt2r'},0.8739215069684305,optimal,1.000000000000003
54,{'EX_co2_e'},0.4616696141601349,optimal,0.5282735468562094
55,{'EX_h_e'},1.7870508060551277e-16,optimal,2.0448642032558291e-16
56,{'EX_ac_e'},0.8739215069684305,optimal,1.000000000000003
57,{'EX_etoh_e'},0.8739215069684305,optimal,1.000000000000003
58,{'PPS'},0.8739215069684299,optimal,1.0000000000000022
59,{'PPCK'},0.8739215069684305,optimal,1.000000000000003
60,{'AKGDH'},0.8583074080226881,optimal,0.9821332936410915
61,{'FORt2'},0.8739215069684305,optimal,1.000000000000003
62,{'GAPD'},4.960407792924738e-16,optimal,5.676033549205172e-16
63,{'ADK1'},0.8739215069684299,optimal,1.0000000000000022
64,{'ACALDt'},0.8739215069684305,optimal,1.000000000000003
65,{'ATPS4r'},0.374229874933111,optimal,0.428219092846551
66,{'PGM'},1.1105617286191585e-15,optimal,1.270779720791652e-15
67,{'G6PDH2r'},0.863813309504,optimal,0.9884335179031211
68,{'Biomass_Ecoli_core'},0.0,optimal,0.0
69,{'FBP'},0.8739215069684305,optimal,1.000000000000003
70,{'MALt2_2'},0.8739215069684305,optimal,1.000000000000003
71,{'EX_acald_e'},0.8739215069684305,optimal,1.000000000000003
72,{'MALS'},0.8739215069684305,optimal,1.000000000000003
73,{'EX_o2_e'},0.21166294973531047,optimal,0.24219903967068432
74,{'NADTRHD'},0.8739215069684305,optimal,1.000000000000003
75,{'NH4t'},-2.023457533804958e-16,optimal,-2.315376744559348e-16
76,{'GLNabc'},0.8739215069684305,optimal,1.000000000000003
77,{'THD2'},0.8739215069684305,optimal,1.000000000000003
78,{'TPI'},0.7040369478590248,optimal,0.8056066159777661
79,{'ENO'},-2.1498589217172389e-16,optimal,-2.4600137478878945e-16
80,{'O2t'},0.2116629497353101,optimal,0.2421990396706839
81,{'EX_h2o_e'},0.38351544929678383,optimal,0.4388442740437547
82,{'NADH16'},0.21166294973531022,optimal,0.242199039670684
