ids,growth,status,reaction_id,growth_ratio,essentiality_class
{'AKGt2r'},0.8739215069684307,optimal,84,1.0000000000000033,non_essential
{'D_LACt2'},0.8739215069684305,optimal,85,1.000000000000003,non_essential
{'ACKr'},0.8739215069684305,optimal,86,1.000000000000003,non_essential
{'EX_etoh_e'},0.8739215069684305,optimal,87,1.000000000000003,non_essential
{'ICDHyr'},-3.743396437539173e-15,optimal,88,-4.283446977434794e-15,essential
{'GLUDy'},0.851388523346209,optimal,89,0.9742162385951751,non_essential
{'GLNS'},6.8813189738901245e-15,optimal,90,7.874069832382241e-15,essential
{'ALCD2x'},0.8739215069684305,optimal,91,1.000000000000003,non_essential
{'EX_fru_e'},0.8739215069684305,optimal,92,1.000000000000003,non_essential
{'PGK'},1.0525207219950656e-15,optimal,93,1.2043652817816393e-15,essential
{'RPI'},2.028471566352211e-16,optimal,94,2.321114139173478e-16,essential
