,ids,growth,status,growth_ratio,class
85,{'ALCD2x'},0.8739215069684279,optimal,1.0,non-essential
86,{'PIt2r'},-1.4366548490015188e-14,optimal,-1.6439174886371356e-14,lethal
87,{'G6PDH2r'},0.8638133095040051,optimal,0.9884335179031268,non-essential
88,{'EX_fru_e'},0.8739215069684311,optimal,1.0000000000000038,non-essential
89,{'NADTRHD'},0.8739215069684291,optimal,1.0000000000000013,non-essential
90,{'O2t'},0.2116629497353101,optimal,0.2421990396706839,strongly-essential
91,{'EX_acald_e'},0.8739215069684279,optimal,1.0,non-essential
92,{'GLCpts'},,infeasible,,infeasible
93,{'EX_glc__D_e'},,infeasible,,infeasible
94,{'ADK1'},0.8739215069684303,optimal,1.0000000000000029,non-essential
