sample,scenario,biomass_frac,biomass_target,baseline_biomass,ATP_capacity,status
Blood,Rich,0.1,0.1036096799708967,1.036096799708967,1183.1787267848083,optimal
Blood,Rich,0.2,0.2072193599417934,1.036096799708967,1177.3548206962805,optimal
Blood,Rich,0.3,0.31082903991269006,1.036096799708967,1171.5304098385593,optimal
Blood,Rich,0.4,0.4144387198835868,1.036096799708967,1165.7056688269704,optimal
Blood,Rich,0.5,0.5180483998544835,1.036096799708967,1159.8807397234318,optimal
Blood,Rich,0.6,0.6216580798253801,1.036096799708967,1154.055061093452,optimal
Blood,Rich,0.7,0.7252677597962768,1.036096799708967,1148.2293824634717,optimal
Blood,Rich,0.8,0.8288774397671737,1.036096799708967,1142.403703833493,optimal
Blood,Rich,0.9,0.9324871197380703,1.036096799708967,1136.5780252035117,optimal
Blood,Rich,0.95,0.9842919597235186,1.036096799708967,1133.665185888522,optimal
Blood,Rich,0.99,1.0257358317118772,1.036096799708967,1131.3349144365286,optimal
TumorCore,TME_core,0.1,0.11495618277187401,1.14956182771874,1386.5321104987913,optimal
TumorCore,TME_core,0.2,0.22991236554374803,1.14956182771874,1380.0750434402285,optimal
TumorCore,TME_core,0.3,0.344868548315622,1.14956182771874,1373.6179763816674,optimal
TumorCore,TME_core,0.4,0.45982473108749605,1.14956182771874,1367.1609093231077,optimal
TumorCore,TME_core,0.5,0.57478091385937,1.14956182771874,1360.7038422645455,optimal
TumorCore,TME_core,0.6,0.689737096631244,1.14956182771874,1354.2467752059824,optimal
TumorCore,TME_core,0.7,0.804693279403118,1.14956182771874,1347.7897081474212,optimal
TumorCore,TME_core,0.8,0.9196494621749921,1.14956182771874,1341.3326410888594,optimal
TumorCore,TME_core,0.9,1.0346056449468661,1.14956182771874,1334.8755740302995,optimal
TumorCore,TME_core,0.95,1.092083736332803,1.14956182771874,1331.6470405010175,optimal
TumorCore,TME_core,0.99,1.1380662094415526,1.14956182771874,1329.0642136775934,optimal
TumorEdge,TME_edge,0.1,0.11064733223763944,1.1064733223763943,1402.288763629979,optimal
TumorEdge,TME_edge,0.2,0.22129466447527887,1.1064733223763943,1396.0737238915126,optimal
TumorEdge,TME_edge,0.3,0.3319419967129183,1.1064733223763943,1389.8586841530496,optimal
TumorEdge,TME_edge,0.4,0.44258932895055775,1.1064733223763943,1383.643644414587,optimal
TumorEdge,TME_edge,0.5,0.5532366611881971,1.1064733223763943,1377.428529572783,optimal
TumorEdge,TME_edge,0.6,0.6638839934258366,1.1064733223763943,1371.2133748136503,optimal
TumorEdge,TME_edge,0.7,0.7745313256634759,1.1064733223763943,1364.998220054516,optimal
TumorEdge,TME_edge,0.8,0.8851786579011155,1.1064733223763943,1358.7830652953855,optimal
TumorEdge,TME_edge,0.9,0.9958259901387548,1.1064733223763943,1352.5679105362526,optimal
TumorEdge,TME_edge,0.95,1.0511496562575746,1.1064733223763943,1349.4603331566839,optimal
TumorEdge,TME_edge,0.99,1.0954085891526304,1.1064733223763943,1346.974271253034,optimal
