gene_id,ids,growth,status,growth_ratio,gene_name,n_reactions,essentiality_class
b4015,{'b0722'},0.8142975075325314,optimal,0.9317741937228117,aceA,1,non_essential
b2133,{'b3952'},0.8739215069684294,optimal,1.0000000000000018,dld,1,non_essential
b1380,{'b0979'},0.8739215069684305,optimal,1.000000000000003,ldhA,1,non_essential
b4014,{'b1380'},0.8739215069684305,optimal,1.000000000000003,aceB,1,non_essential
b2976,{'b3733'},0.3742298749331099,optimal,0.42821909284654974,glcB,1,partially_essential
b3236,{'b0485'},0.8739215069684303,optimal,1.0000000000000029,mdh,1,non_essential
b1479,{'b3919'},0.7040369478590248,optimal,0.8056066159777661,maeA,1,non_essential
b2463,{'b3115'},0.8739215069684307,optimal,1.0000000000000033,maeB,1,non_essential
b2286,{'b3612'},0.8739215069684305,optimal,1.000000000000003,nuoC,1,non_essential
b2279,{'s0001'},0.21114065257211634,optimal,0.24160139198833588,nuoK,1,partially_essential
b2276,{'b2416'},,infeasible,,nuoN,1,unknown
b2280,{'b4301'},0.8739215069684307,optimal,1.0000000000000033,nuoJ,1,non_essential
b2288,{'b4122'},0.8739215069684305,optimal,1.000000000000003,nuoA,1,non_essential
b2284,{'b2288'},0.21166294973531022,optimal,0.242199039670684,nuoF,1,partially_essential
b2287,{'b2935'},0.873921506968431,optimal,1.0000000000000036,nuoB,1,non_essential
b2281,{'b1812'},0.8739215069684305,optimal,1.000000000000003,nuoI,1,non_essential
b2277,{'b3212'},0.8739215069684305,optimal,1.000000000000003,nuoM,1,non_essential
b2285,{'b2277'},0.21166294973531022,optimal,0.242199039670684,nuoE,1,partially_essential
b2282,{'b1676'},0.873921506968431,optimal,1.0000000000000036,nuoH,1,non_essential
b2278,{'b4151'},0.8739215069684305,optimal,1.000000000000003,nuoL,1,non_essential
b2283,{'b0118'},0.8739215069684305,optimal,1.000000000000003,nuoG,1,non_essential
b3962,{'b0451'},0.8739215069684305,optimal,1.000000000000003,sthA,1,non_essential
b1602,{'b2029'},0.863813309504001,optimal,0.9884335179031222,pntB,2,non_essential
b1603,{'b2926'},1.0525207219950656e-15,optimal,1.2043652817816393e-15,pntA,2,essential
b0451,{'b0978'},0.873921506968429,optimal,1.0000000000000013,amtB,1,non_essential
b0114,{'b2280'},0.21166294973531086,optimal,0.24219903967068476,aceE,1,partially_essential
b0115,{'b2579'},0.8739215069684305,optimal,1.000000000000003,aceF,1,non_essential
