,PC1,PC2,PC3
Blood,58.76989003360446,8.520306057568138,4.673383092242467e-13
TumorCore,-38.685161382813924,36.120959921925035,4.673383092242364e-13
TumorEdge,-20.084728650791174,-44.641265979491905,4.673383092242516e-13
